wall_time,elapsed_s,event_type,event_button,event_axis,event_value,event_hat,pressed_buttons,axes,hats
2026-06-17T21:26:08.465,0.0002,JOYDEVICEADDED,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:08.465,0.0002,4352,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:08.515,0.0505,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:08.565,0.1007,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:08.616,0.1509,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:08.666,0.2011,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:08.716,0.2513,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:08.766,0.3015,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:08.816,0.3517,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:08.867,0.4019,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:08.917,0.4521,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:08.967,0.5023,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:09.017,0.5526,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:09.067,0.6028,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:09.118,0.653,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:09.168,0.7032,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:09.218,0.7535,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:09.268,0.8037,JOYAXISMOTION,,2,-1.0,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:09.269,0.8037,JOYAXISMOTION,,2,1.0,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:09.319,0.854,,,,,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:09.369,0.9042,,,,,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:09.419,0.9545,,,,,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:09.469,1.0047,,,,,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:09.520,1.0549,JOYAXISMOTION,,2,-1.0,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:09.570,1.1052,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:09.620,1.1554,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:09.670,1.2056,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:09.721,1.2558,JOYAXISMOTION,,2,1.0,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:09.771,1.3061,,,,,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:09.821,1.3562,,,,,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:09.871,1.4064,,,,,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:09.921,1.4566,,,,,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:09.972,1.5068,,,,,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:10.022,1.557,JOYAXISMOTION,,2,-1.0,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:10.072,1.6073,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:10.122,1.6575,JOYAXISMOTION,,2,1.0,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:10.172,1.7077,,,,,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:10.223,1.7579,,,,,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:10.273,1.8081,JOYAXISMOTION,,2,-1.0,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:10.323,1.8584,JOYAXISMOTION,,2,1.0,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:10.373,1.9087,,,,,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:10.424,1.9589,,,,,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:10.474,2.0091,JOYAXISMOTION,,2,-1.0,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:10.524,2.0593,JOYAXISMOTION,,2,1.0,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:10.574,2.1095,,,,,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:10.624,2.1597,,,,,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:10.675,2.2099,JOYAXISMOTION,,2,-1.0,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:10.725,2.2601,JOYAXISMOTION,,5,-1.0,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, 1.0]","[[0, 0]]"
2026-06-17T21:26:10.725,2.2601,JOYAXISMOTION,,5,1.0,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, 1.0]","[[0, 0]]"
